policy_name,policy_family,split,n,accuracy,macro_f1,coverage,accepted_accuracy,review_rate,helped,hurt,net_gain,switch_rate,error_capture_rate,correct_rejection_rate,threshold,target_class
classwise_defect_flashover_margin_review_t0.020,margin_review,train,182,0.9175824175824175,0.7766569217673318,1.0,0.9175824175824175,0.0,0,0,0,0.0,0.0,0.0,0.02,defect_flashover
classwise_defect_flashover_margin_review_t0.020,margin_review,val,58,0.6551724137931034,0.6683501683501684,1.0,0.6551724137931034,0.0,0,0,0,0.0,0.0,0.0,0.02,defect_flashover
classwise_defect_flashover_margin_switch_top2_t0.020,margin_switch_top2,train,182,0.9175824175824175,0.7766569217673318,1.0,0.9175824175824175,0.0,0,0,0,0.0,0.0,0.0,0.02,defect_flashover
classwise_defect_flashover_margin_switch_top2_t0.020,margin_switch_top2,val,58,0.6551724137931034,0.6683501683501684,1.0,0.6551724137931034,0.0,0,0,0,0.0,0.0,0.0,0.02,defect_flashover
classwise_insulator_ok_margin_review_t0.020,margin_review,train,182,0.9175824175824175,0.7766569217673318,1.0,0.9175824175824175,0.0,0,0,0,0.0,0.0,0.0,0.02,insulator_ok
classwise_insulator_ok_margin_review_t0.020,margin_review,val,58,0.6551724137931034,0.6683501683501684,1.0,0.6551724137931034,0.0,0,0,0,0.0,0.0,0.0,0.02,insulator_ok
classwise_insulator_ok_margin_switch_top2_t0.020,margin_switch_top2,train,182,0.9175824175824175,0.7766569217673318,1.0,0.9175824175824175,0.0,0,0,0,0.0,0.0,0.0,0.02,insulator_ok
classwise_insulator_ok_margin_switch_top2_t0.020,margin_switch_top2,val,58,0.6551724137931034,0.6683501683501684,1.0,0.6551724137931034,0.0,0,0,0,0.0,0.0,0.0,0.02,insulator_ok
margin_review_t0.050,margin_review,train,182,0.9175824175824175,0.7766569217673318,1.0,0.9175824175824175,0.0,0,0,0,0.0,0.0,0.0,0.05,
margin_review_t0.050,margin_review,val,58,0.6206896551724138,0.6668185615554036,0.9482758620689655,0.6545454545454545,0.05172413793103448,1,2,-1,0.0,0.05,0.05263157894736842,0.05,
margin_switch_top2_t0.050,margin_switch_top2,train,182,0.9175824175824175,0.7766569217673318,1.0,0.9175824175824175,0.0,0,0,0,0.0,0.0,0.0,0.05,
margin_switch_top2_t0.050,margin_switch_top2,val,58,0.6379310344827587,0.6537506209637357,1.0,0.6379310344827587,0.0,1,2,-1,0.05172413793103448,0.05,0.0,0.05,
classwise_defect_broken_margin_review_t0.050,margin_review,train,182,0.9175824175824175,0.7766569217673318,1.0,0.9175824175824175,0.0,0,0,0,0.0,0.0,0.0,0.05,defect_broken
classwise_defect_broken_margin_review_t0.050,margin_review,val,58,0.6551724137931034,0.6683501683501684,1.0,0.6551724137931034,0.0,0,0,0,0.0,0.0,0.0,0.05,defect_broken
