label_coarse_class,dino_top1,dino_top2,n,n_recoverable_top2,n_recoverable_top3,mean_margin
insulator_ok,defect_flashover,insulator_ok,13,13,13,0.2902161048935405
defect_flashover,insulator_ok,defect_flashover,9,9,9,0.5325484356988871
defect_broken,insulator_ok,defect_broken,6,6,6,0.5844061585496598
insulator_ok,defect_broken,insulator_ok,4,4,4,0.5110725606372626
defect_broken,defect_flashover,defect_broken,1,1,1,0.6661371704279297
defect_broken,defect_flashover,insulator_ok,1,0,1,0.7560634715838636
defect_broken,insulator_ok,defect_flashover,1,0,1,0.7062215411584376
