method,budget,n,review_count,review_rate,accept_count,accept_rate,accepted_accuracy,n_false_alarm,false_alarm_reviewed,false_alarm_capture_rate,false_alarm_remaining,false_alarm_remaining_rate,false_alarm_review_yield,n_true_flashover,true_flashover_accepted,true_flashover_accept_rate,true_flashover_reviewed,true_flashover_review_rate,true_flashover_retention,helped,hurt,net_gain,helped_per_review
vlm_binary_rank,0.1500,36.0,5.0,0.1388888888888889,31.0,0.8611111111111112,0.6129032258064516,13.0,3.0,0.23076923076923078,10.0,0.7692307692307693,0.6,21.0,19.0,0.9047619047619048,2.0,0.09523809523809523,0.9047619047619048,3.0,2.0,1.0,0.6
vlm_plus_margin_rank,0.1500,36.0,5.0,0.1388888888888889,31.0,0.8611111111111112,0.6129032258064516,13.0,3.0,0.23076923076923078,10.0,0.7692307692307693,0.6,21.0,19.0,0.9047619047619048,2.0,0.09523809523809523,0.9047619047619048,3.0,2.0,1.0,0.6
margin_plus_vlm_rank,0.1500,36.0,5.0,0.1388888888888889,31.0,0.8611111111111112,0.5806451612903226,13.0,2.0,0.15384615384615385,11.0,0.8461538461538461,0.4,21.0,18.0,0.8571428571428571,3.0,0.14285714285714285,0.8571428571428571,2.0,3.0,-1.0,0.4
review_all_flashover,0.1500,36.0,36.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.3611111111111111,21.0,0.0,0.0,21.0,1.0,0.0,13.0,21.0,-8.0,0.3611111111111111
random_baseline_same_budget,0.1500,36.0,5.0,0.13888888888888887,31.0,0.8611111111111108,0.5861290322580647,13.0,1.92,0.1476923076923077,11.08,0.8523076923076925,0.38400000000000006,21.0,18.17,0.8652380952380954,2.83,0.13476190476190475,0.8652380952380954,1.92,2.83,-0.91,0.38400000000000006
margin_rank,0.2000,36.0,7.0,0.19444444444444445,29.0,0.8055555555555556,0.5862068965517241,13.0,3.0,0.23076923076923078,10.0,0.7692307692307693,0.42857142857142855,21.0,17.0,0.8095238095238095,4.0,0.19047619047619047,0.8095238095238095,3.0,4.0,-1.0,0.42857142857142855
vlm_binary_rank,0.2000,36.0,7.0,0.19444444444444445,29.0,0.8055555555555556,0.6206896551724138,13.0,4.0,0.3076923076923077,9.0,0.6923076923076923,0.5714285714285714,21.0,18.0,0.8571428571428571,3.0,0.14285714285714285,0.8571428571428571,4.0,3.0,1.0,0.5714285714285714
vlm_plus_margin_rank,0.2000,36.0,7.0,0.19444444444444445,29.0,0.8055555555555556,0.6206896551724138,13.0,4.0,0.3076923076923077,9.0,0.6923076923076923,0.5714285714285714,21.0,18.0,0.8571428571428571,3.0,0.14285714285714285,0.8571428571428571,4.0,3.0,1.0,0.5714285714285714
margin_plus_vlm_rank,0.2000,36.0,7.0,0.19444444444444445,29.0,0.8055555555555556,0.5862068965517241,13.0,3.0,0.23076923076923078,10.0,0.7692307692307693,0.42857142857142855,21.0,17.0,0.8095238095238095,4.0,0.19047619047619047,0.8095238095238095,3.0,4.0,-1.0,0.42857142857142855
review_all_flashover,0.2000,36.0,36.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.3611111111111111,21.0,0.0,0.0,21.0,1.0,0.0,13.0,21.0,-8.0,0.3611111111111111
