method,budget,review_rate,false_alarm_capture_rate,true_flashover_review_rate,accepted_accuracy,net_gain
margin_rank,0.0500,0.05555555555555555,0.07692307692307693,0.047619047619047616,0.5882352941176471,0.0
vlm_binary_rank,0.0500,0.05555555555555555,0.15384615384615385,0.0,0.6176470588235294,2.0
vlm_plus_margin_rank,0.0500,0.05555555555555555,0.15384615384615385,0.0,0.6176470588235294,2.0
margin_plus_vlm_rank,0.0500,0.05555555555555555,0.07692307692307693,0.047619047619047616,0.5882352941176471,0.0
review_all_flashover,0.0500,1.0,1.0,1.0,0.0,-8.0
random_baseline_same_budget,0.0500,0.05555555555555557,0.06115384615384615,0.05142857142857142,0.5858823529411764,-0.285
margin_rank,0.1000,0.1111111111111111,0.07692307692307693,0.14285714285714285,0.5625,-2.0
vlm_binary_rank,0.1000,0.1111111111111111,0.23076923076923078,0.047619047619047616,0.625,2.0
vlm_plus_margin_rank,0.1000,0.1111111111111111,0.23076923076923078,0.047619047619047616,0.625,2.0
margin_plus_vlm_rank,0.1000,0.1111111111111111,0.07692307692307693,0.14285714285714285,0.5625,-2.0
review_all_flashover,0.1000,1.0,1.0,1.0,0.0,-8.0
random_baseline_same_budget,0.1000,0.11111111111111115,0.11846153846153847,0.10857142857142855,0.585,-0.74
margin_rank,0.1111,0.1111111111111111,0.07692307692307693,0.14285714285714285,0.5625,-2.0
vlm_binary_rank,0.1111,0.1111111111111111,0.23076923076923078,0.047619047619047616,0.625,2.0
vlm_plus_margin_rank,0.1111,0.1111111111111111,0.23076923076923078,0.047619047619047616,0.625,2.0
margin_plus_vlm_rank,0.1111,0.1111111111111111,0.07692307692307693,0.14285714285714285,0.5625,-2.0
review_all_flashover,0.1111,1.0,1.0,1.0,0.0,-8.0
random_baseline_same_budget,0.1111,0.11111111111111115,0.11846153846153847,0.10857142857142855,0.585,-0.74
margin_rank,0.1500,0.1388888888888889,0.15384615384615385,0.14285714285714285,0.5806451612903226,-1.0
vlm_binary_rank,0.1500,0.1388888888888889,0.23076923076923078,0.09523809523809523,0.6129032258064516,1.0
vlm_plus_margin_rank,0.1500,0.1388888888888889,0.23076923076923078,0.09523809523809523,0.6129032258064516,1.0
margin_plus_vlm_rank,0.1500,0.1388888888888889,0.15384615384615385,0.14285714285714285,0.5806451612903226,-1.0
review_all_flashover,0.1500,1.0,1.0,1.0,0.0,-8.0
random_baseline_same_budget,0.1500,0.13888888888888887,0.1476923076923077,0.13476190476190475,0.5861290322580647,-0.91
margin_rank,0.2000,0.19444444444444445,0.23076923076923078,0.19047619047619047,0.5862068965517241,-1.0
vlm_binary_rank,0.2000,0.19444444444444445,0.3076923076923077,0.14285714285714285,0.6206896551724138,1.0
vlm_plus_margin_rank,0.2000,0.19444444444444445,0.3076923076923077,0.14285714285714285,0.6206896551724138,1.0
margin_plus_vlm_rank,0.2000,0.19444444444444445,0.23076923076923078,0.19047619047619047,0.5862068965517241,-1.0
review_all_flashover,0.2000,1.0,1.0,1.0,0.0,-8.0
random_baseline_same_budget,0.2000,0.19444444444444448,0.20653846153846156,0.18904761904761905,0.5872413793103448,-1.285
margin_rank,0.3000,0.3055555555555556,0.46153846153846156,0.23809523809523808,0.64,1.0
vlm_binary_rank,0.3000,0.3055555555555556,0.46153846153846156,0.23809523809523808,0.64,1.0
vlm_plus_margin_rank,0.3000,0.3055555555555556,0.46153846153846156,0.23809523809523808,0.64,1.0
margin_plus_vlm_rank,0.3000,0.3055555555555556,0.46153846153846156,0.23809523809523808,0.64,1.0
review_all_flashover,0.3000,1.0,1.0,1.0,0.0,-8.0
random_baseline_same_budget,0.3000,0.3055555555555555,0.3269230769230769,0.29333333333333333,0.5936,-1.91
margin_rank,0.4000,0.3888888888888889,0.6923076923076923,0.23809523809523808,0.7272727272727273,4.0
vlm_binary_rank,0.4000,0.3888888888888889,0.6153846153846154,0.2857142857142857,0.6818181818181818,2.0
vlm_plus_margin_rank,0.4000,0.3888888888888889,0.6153846153846154,0.2857142857142857,0.6818181818181818,2.0
margin_plus_vlm_rank,0.4000,0.3888888888888889,0.6923076923076923,0.23809523809523808,0.7272727272727273,4.0
review_all_flashover,0.4000,1.0,1.0,1.0,0.0,-8.0
random_baseline_same_budget,0.4000,0.38888888888888895,0.4053846153846154,0.37976190476190474,0.5920454545454545,-2.705
margin_rank,0.5000,0.5,0.8461538461538461,0.3333333333333333,0.7777777777777778,4.0
vlm_binary_rank,0.5000,0.5,0.8461538461538461,0.3333333333333333,0.7777777777777778,4.0
vlm_plus_margin_rank,0.5000,0.5,0.8461538461538461,0.3333333333333333,0.7777777777777778,4.0
margin_plus_vlm_rank,0.5000,0.5,0.8461538461538461,0.3333333333333333,0.7777777777777778,4.0
review_all_flashover,0.5000,1.0,1.0,1.0,0.0,-8.0
random_baseline_same_budget,0.5000,0.5,0.5169230769230769,0.48976190476190473,0.5952777777777778,-3.565
margin_rank,0.6000,0.6111111111111112,0.9230769230769231,0.47619047619047616,0.7857142857142857,2.0
vlm_binary_rank,0.6000,0.6111111111111112,0.9230769230769231,0.47619047619047616,0.7857142857142857,2.0
vlm_plus_margin_rank,0.6000,0.6111111111111112,0.9230769230769231,0.47619047619047616,0.7857142857142857,2.0
margin_plus_vlm_rank,0.6000,0.6111111111111112,0.9230769230769231,0.47619047619047616,0.7857142857142857,2.0
review_all_flashover,0.6000,1.0,1.0,1.0,0.0,-8.0
random_baseline_same_budget,0.6000,0.611111111111111,0.6226923076923078,0.6047619047619047,0.592857142857143,-4.605
